Error output is also redirected to the log file.
�Fraction нейроны0: 7765/332Размер list_of_neurons: 205
Размер list_of_synapses: 10105
Fraction нейроны195: 23042/7427
Fraction нейроны196: -15104/7167
Fraction нейроны197: 49/81
Fraction нейроны198: -8/103
Fraction нейроны199: -9728/24317
Fraction нейроны200: 8192/28413
Fraction нейроны201: -22787/17918
Fraction нейроны202: 49/44
Fraction нейроны203: 15363/28928
Fraction нейроны204: 7933/18686
конец чтения нейронов в вектор
Fraction синапсы 0: -6909/11777
Fraction синапсы 1: -90/121
Fraction синапсы 2: -4097/12928
Fraction синапсы 3: 18691/6656
Fraction синапсы 4: -128/247
Fraction синапсы 5: 20479/6398
Fraction синапсы 6: 18689/9984
Fraction синапсы 7: 2/49
Fraction синапсы 8: -8962/28159
Fraction синапсы 9: -6528/14719
Fraction синапсы 10: 11267/22786
Fraction синапсы 11: -90/73
Fraction синапсы 12: -32512/21759
Fraction синапсы 13: -4/3
Fraction синапсы 14: 61/1
Fraction синапсы 15: -2051/4350
Fraction синапсы 16: -4736/9087
Fraction синапсы 17: -767/24064
Fraction синапсы 18: -2361/1621
Fraction синапсы 19: 3843/20483
Fraction синапсы 20: 22019/25859
Fraction синапсы 21: 13057/12289
Fraction синапсы 22: -3926/3839
Fraction синапсы 23: 15106/11523
Fraction синапсы 24: -7552/6271
Fraction синапсы 25: -47/80
Fraction синапсы 26: -33/53
Fraction синапсы 27: 20/17
Fraction синапсы 28: 76/83
Fraction синапсы 29: -7168/28925
Fraction синапсы 30: 19967/1790
Fraction синапсы 31: -24575/4352
Fraction синапсы 32: 5717/9728
Fraction синапсы 33: 74/99
Fraction синапсы 34: -31489/23552
Fraction синапсы 35: -23/57
Fraction синапсы 36: 106/123
Fraction синапсы 37: 14592/27391
Fraction синапсы 38: 17155/5889
Fraction синапсы 39: -3200/8319
Fraction синапсы 40: 19713/15361
Fraction синапсы 41: 896/1153
Fraction синапсы 42: 118/11
Fraction синапсы 43: -16257/10879
Fraction синапсы 44: -2304/7169
Fraction синапсы 45: 7/26
Fraction синапсы 46: 32768/6399
Fraction синапсы 47: -20481/23294
Fraction синапсы 48: 29/38
Fraction синапсы 49: 19200/3583
Fraction синапсы 50: -1365/1906
Fraction синапсы 51: 15361/8960
Fraction синапсы 52: 24/35
Fraction синапсы 53: 30977/31744
Fraction синапсы 54: 23296/20225
Fraction синапсы 55: -6659/26365
Fraction синапсы 56: -59/29
Fraction синапсы 57: -9344/7297
Fraction синапсы 58: 18/17
Fraction синапсы 59: -4867/18175
Fraction синапсы 60: 26881/2051
Fraction синапсы 61: 13569/19202
Fraction синапсы 62: 5887/26111
Fraction синапсы 63: 8448/12545
Fraction синапсы 64: 116/85
Fraction синапсы 65: 19/86
Fraction синапсы 66: 26877/22528
Fraction синапсы 67: 13827/27905
Fraction синапсы 68: -3071/1280
Fraction синапсы 69: -23296/26877
Fraction синапсы 70: 7424/27905
Fraction синапсы 71: 6401/14848
Fraction синапсы 72: -26/27
Fraction синапсы 73: -24831/9728
Fraction синапсы 74: -10496/257
Fraction синапсы 75: 18689/20995
Fraction синапсы 76: 256/26877
Fraction синапсы 77: -3839/6059
Fraction синапсы 78: 7679/9469
Fraction синапсы 79: -18947/14591
Fraction синапсы 80: 121/62
Fraction синапсы 81: -5/1
Fraction синапсы 82: -4/59
Fraction синапсы 83: -769/23552
Fraction синапсы 84: 9472/2559
Fraction синапсы 85: 24317/29182
Fraction синапсы 86: 128/7681
Fraction синапсы 87: 3711/11776
Fraction синапсы 88: 3/8
Fraction синапсы 89: -51/23
Fraction синапсы 90: -1664/2303
Fraction синапсы 91: 18177/29698
Fraction синапсы 92: -26371/30461
Fraction синапсы 93: 62/41
Fraction синапсы 94: 17921/5889
Fraction синапсы 95: 112/121
Fraction синапсы 96: -21248/23039
Fraction синапсы 97: 127/105
Fraction синапсы 98: 31487/24575
Fraction синапсы 99: 107/49
Fraction синапсы 100: -16637/23555
Fraction синапсы 101: -1/8063
Fraction синапсы 102: 23297/6657
Fraction синапсы 103: -21251/25343
Fraction синапсы 104: 2819/24064
